  lote_ID,prueba,Equipo,resultado,Linea_produccion,hora_muestreo,Dia
L-2024-0196,Dureza,Balanza-03,Conforme,Linea B,07:36:37,Martes
L-2024-0247,Humedad,Durometro-01,Alerta,Linea A,07:04:03,Lunes
L-2024-0200,pH,Durometro-02,Conforme,Linea A,20:39:33,Viernes
L-2024-0136,Friabilidad,Durometro-02,Alerta,Linea B,06:01:42,Lunes
L-2024-0039,Friabilidad,Balanza-04,Fuera de Tendencia (OOT),linea b,18:25:07,Lunes
L-2024-0159,pH,Disolutor-02,Conforme,Linea B,21:44:33,Martes
L-2024-0047,Humedad,Balanza-04,Alerta,Linea B,06:10:56,Lunes
L-2024-0221,Disolucion 30 min,Disolutor-01,Conforme,Linea A,16:37:56,Martes
L-2024-0061,Tiempo de desintegracion,Durometro-02,Conforme,Linea A,15:09:01,Lunes
L-2024-0041,Uniformidad de contenido,HPLC-01,Alerta,Linea B,10:11:59,Martes
L-2024-0067,Humedad,Disolutor-01,Alerta,Linea A,06:58:51,Lunes
L-2024-0080,Dureza,HPLC-02,Conforme,Linea B,14:13:31,Viernes
L-2024-0041,Uniformidad de contenido,Durometro-01,Conforme,Linea A,12:24:26,Lunes
L-2024-0145,pH,Durometro-02,Conforme,Linea B,15:33:30,Miercoles
L-2024-0158,Friabilidad,phmetro-01,Conforme,Linea B,10:55:53,Jueves
L-2024-0035,Espesor,Balanza-04,Alerta,Linea A,19:20:23,Jueves
L-2024-0046,pH,,Conforme,Linea A,13:58:07,Miercoles
L-2024-0203,Disolucion 30 min,Balanza-03,Alerta,Linea A,15:09:29,Lunes
L-2024-0237,Espesor,Balanza-03,Fuera de Especificacion (OOS),Linea B,06:31:16,Martes
L-2024-0177,Dureza,Disolutor-02,Conforme,Linea A,09:30:56,Martes
L-2024-0044,Dureza,HPLC-01,Conforme,Linea B,15:36:03,Miercoles
L-2024-0249,Humedad,Balanza-03,Alerta,Linea B,21:53:24,Jueves
L-2024-0182,Humedad,phmetro-01,Conforme,Linea A,12:56:29,Miercoles
L-2024-0007,Friabilidad,Durometro-01,Conforme,Linea A,06:44:01,Jueves
L-2024-0103,Disolucion 30 min,phmetro-01,Conforme,Linea A,20:59:46,Lunes
L-2024-0135,Tiempo de desintegracion,Durometro-01,Conforme,Linea B,17:23:25,Jueves
L-2024-0173,Dureza,Disolutor-02,Conforme,Linea A,19:02:05,Miercoles
L-2024-0228,Espesor,Disolutor-02,Alerta,Linea A,20:23:49,Miercoles
L-2024-0068,Dureza,Termobalanza-01,Conforme,Linea A,12:07:28,Jueves
L-2024-0205,Friabilidad,Durometro-02,Fuera de Especificacion (OOS),Linea B,07:18:20,Viernes
L-2024-0035,Tiempo de desintegracion,Disolutor-02,Alerta,Linea A,19:56:27,Viernes
L-2024-0133,Dureza,Durometro-02,Conforme,Linea B,12:30:57,Miercoles
L-2024-0251,Friabilidad,Disolutor-01,Conforme,Linea A,12:41:34,Martes
L-2024-0019,pH,Balanza-03,Conforme,Linea A,15:15:07,Martes
L-2024-0094,Humedad,Durometro-01,Conforme,Linea A,13:14:25,Viernes
L-2024-0099,Espesor,HPLC-02,Conforme,Linea B,06:23:39,Miercoles
L-2024-0186,Espesor,Balanza-04,Conforme,Linea A,06:42:55,Jueves
L-2024-0037,pH,Balanza-03,Conforme,Linea A,14:50:00,Miercoles
L-2024-0026,Disolucion 30 min,Disolutor-01,Conforme,Linea A,15:34:07,Jueves
L-2024-0252,Disolucion 30 min,Durometro-02,Conforme,Linea B,09:02:44,Jueves
L-2024-0056,Dureza,Durometro-02,Conforme,Linea B,06:38:57,Miercoles
L-2024-0067,Tiempo de desintegracion,HPLC-01,Fuera de Tendencia (OOT),Linea B,07:01:08,Miercoles
L-2024-0185,Humedad,Balanza-03,Conforme,Linea A,18:01:47,Lunes
L-2024-0251,Peso promedio,Disolutor-01,Conforme,Linea A,06:31:09,Lunes
L-2024-0177,Peso promedio,Disolutor-01,Conforme,Linea A,18:34:22,Viernes
L-2024-0237,Espesor,phmetro-01,Conforme,Linea B,08:53:23,Miercoles
L-2024-0005,pH,Balanza-04,Fuera de Especificacion (OOS),Linea A,11:10:08,Martes
L-2024-0071,Peso promedio,Balanza-04,Conforme,Linea A,20:19:28,Miercoles
L-2024-0216,Disolucion 30 min,Balanza-03,Conforme,Linea B,06:39:54,Martes
L-2024-0034,Uniformidad de contenido,Disolutor-01,Conforme,Linea A,14:44:45,Lunes
L-2024-0128,Disolucion 30 min,phmetro-01,Conforme,Linea B,14:30:03,Lunes
L-2024-0090,Tiempo de desintegracion,Balanza-03,Conforme,Linea A,10:56:51,Jueves
L-2024-0211,Humedad,Disolutor-01,Conforme,Linea A,13:35:19,Lunes
L-2024-0068,Peso promedio,Disolutor-02,Conforme,Linea B,07:28:04,Martes
L-2024-0239,Disolucion 30 min,Termobalanza-01,Conforme,Linea B,21:41:26,Martes
L-2024-0017,pH,HPLC-01,Conforme,Linea A,10:42:44,Viernes
L-2024-0199,,Disolutor-02,Conforme,Linea A,20:38:33,Lunes
L-2024-0133,pH,HPLC-01,Conforme,Linea B,11:05:13,Martes
L-2024-0236,Dureza,phmetro-01,Conforme,Linea A,10:32:00,Miercoles
L-2024-0052,Peso promedio,Disolutor-02,Conforme,Linea B,10:31:04,Martes
L-2024-0047,Espesor,Disolutor-01,Conforme,Linea B,19:06:23,Lunes
L-2024-0197,Peso promedio,Balanza-03,Conforme,Linea A,10:54:34,Miercoles
L-2024-0115,Disolucion 30 min,HPLC-01,Conforme,Linea B,19:53:19,Jueves
L-2024-0142,pH,Durometro-02,Conforme,Linea A,17:17:29,Viernes
L-2024-0145,Humedad,HPLC-02,Conforme,Linea B,17:53:23,Jueves
L-2024-0245,Peso promedio,Balanza-03,Alerta,Linea A,08:33:47,Viernes
L-2024-0173,pH,HPLC-01,Conforme,Linea A,13:33:21,Miercoles
L-2024-0114,Friabilidad,Durometro-01,Conforme,Linea A,11:27:34,Miercoles
L-2024-0117,Uniformidad de contenido,Disolutor-02,Alerta,Linea A,17:35:57,Jueves
L-2024-0133,Disolucion 30 min,Durometro-01,Conforme,Linea A,13:15:59,Martes
L-2024-0140,Friabilidad,HPLC-01,Conforme,Linea B,10:10:29,Jueves
L-2024-0171,Espesor,Termobalanza-01,Conforme,Linea B,14:24:52,Lunes
L-2024-0194,Dureza,HPLC-01,Conforme,Linea A,20:47:30,Viernes
L-2024-0120,Humedad,Termobalanza-01,Fuera de Especificacion (OOS),Linea A,06:24:28,Miercoles
L-2024-0141,Peso promedio,Balanza-03,Conforme,Linea A,12:27:03,Martes
L-2024-0125,Peso promedio,HPLC-01,Alerta,Linea A,07:11:10,Jueves
L-2024-0102,Friabilidad,HPLC-02,Alerta,Linea A,06:53:25,Martes
L-2024-0037,Dureza,Disolutor-01,Conforme,Linea A,11:02:13,Jueves
L-2024-0151,Tiempo de desintegracion,Balanza-03,Alerta,Linea A,07:35:40,Miercoles
L-2024-0251,Disolucion 30 min,Durometro-01,Alerta,Linea A,15:29:12,Lunes
L-2024-0080,Humedad,Balanza-04,Conforme,linea a,10:55:49,Jueves
L-2024-0114,Peso promedio,Disolutor-02,Conforme,Linea A,18:37:43,Martes
L-2024-0182,Uniformidad de contenido,HPLC-02,Alerta,Linea A,06:57:07,Lunes
L-2024-0212,Humedad,HPLC-02,Conforme,linea a,18:55:41,Lunes
L-2024-0028,Friabilidad,Durometro-02,Conforme,Linea B,21:57:38,Viernes
L-2024-0184,Peso promedio,Disolutor-01,Conforme,Linea B,12:48:00,Miercoles
L-2024-0076,Peso promedio,Termobalanza-01,Conforme,Linea B,17:11:37,Viernes
L-2024-0010,Friabilidad,Disolutor-01,Conforme,Linea A,14:08:20,Martes
L-2024-0209,Peso promedio,Termobalanza-01,Alerta,Linea A,06:00:21,Martes
L-2024-0063,Espesor,Balanza-04,Conforme,Linea B,06:34:39,Viernes
L-2024-0086,pH,Balanza-03,Conforme,Linea A,08:38:18,Lunes
L-2024-0083,Disolucion 30 min,Termobalanza-01,Conforme,Linea B,06:45:59,Martes
L-2024-0108,Dureza,Termobalanza-01,Conforme,Linea B,18:51:20,Jueves
L-2024-0111,Peso promedio,Balanza-04,Conforme,Linea A,18:17:57,Miercoles
L-2024-0212,Peso promedio,Balanza-03,Conforme,Linea B,14:40:40,Martes
L-2024-0161,Espesor,HPLC-01,Alerta,Linea A,20:35:11,Jueves
L-2024-0228,pH,Durometro-01,Conforme,Linea B,15:56:06,Lunes
L-2024-0118,Tiempo de desintegracion,Balanza-03,Conforme,Linea A,06:26:38,Viernes
L-2024-0133,Espesor,phmetro-01,Conforme,Linea B,08:23:50,Miercoles
L-2024-0250,pH,HPLC-02,Conforme,Linea B,09:48:36,Miercoles
L-2024-0074,Tiempo de desintegracion,phmetro-01,Conforme,Linea A,16:03:18,Jueves
L-2024-0060,Uniformidad de contenido,HPLC-02,Conforme,Linea A,17:46:48,Jueves
L-2024-0033,Espesor,HPLC-02,Conforme,Linea A,15:59:58,Lunes
L-2024-0059,Disolucion 30 min,Termobalanza-01,Conforme,Linea A,12:11:46,Jueves
L-2024-0194,Uniformidad de contenido,Durometro-02,Conforme,linea b,21:12:56,Viernes
L-2024-0037,pH,Balanza-04,Conforme,Linea A,20:22:34,Viernes
L-2024-0084,Tiempo de desintegracion,Balanza-04,Alerta,linea b,14:43:35,Lunes
L-2024-0211,Dureza,Balanza-04,Conforme,Linea B,13:25:01,Martes
L-2024-0214,Dureza,Balanza-04,Conforme,Linea B,09:48:33,Martes
L-2024-0003,Humedad,phmetro-01,Alerta,Linea A,12:55:33,Jueves
L-2024-0260,Humedad,HPLC-02,Conforme,Linea B,09:48:33,Miercoles
L-2024-0081,Peso promedio,Balanza-04,Conforme,Linea B,09:35:21,Lunes
L-2024-0154,Disolucion 30 min,Termobalanza-01,Conforme,Linea A,13:07:24,Martes
L-2024-0258,Disolucion 30 min,phmetro-01,Conforme,Linea B,16:45:40,Miercoles
L-2024-0085,Peso promedio,Durometro-02,Conforme,Linea A,06:56:58,Miercoles
L-2024-0041,Humedad,Disolutor-01,Conforme,Linea A,21:20:23,Martes
L-2024-0211,Peso promedio,Disolutor-02,Conforme,Linea A,21:02:12,Miercoles
L-2024-0228,Dureza,Disolutor-02,Conforme,Linea A,09:41:32,Viernes
L-2024-0175,Uniformidad de contenido,HPLC-02,Conforme,Linea B,12:37:55,Lunes
L-2024-0092,Tiempo de desintegracion,Balanza-04,Conforme,Linea A,14:43:48,Jueves
L-2024-0156,Tiempo de desintegracion,Durometro-01,Conforme,Linea A,11:00:05,Miercoles
L-2024-0147,pH,phmetro-01,Conforme,Linea A,07:06:26,Miercoles
L-2024-0034,Friabilidad,HPLC-02,Conforme,Linea A,11:44:48,Miercoles
L-2024-0179,Disolucion 30 min,HPLC-01,Conforme,Linea A,21:56:06,Lunes
L-2024-0023,Peso promedio,Balanza-04,Conforme,Linea A,07:06:19,Martes
L-2024-0150,Tiempo de desintegracion,Durometro-02,Conforme,Linea B,15:38:40,Lunes
L-2024-0176,Humedad,HPLC-02,Conforme,Linea B,17:47:54,Lunes
L-2024-0206,Tiempo de desintegracion,Disolutor-02,Conforme,Linea A,15:42:18,Miercoles
L-2024-0250,Disolucion 30 min,HPLC-02,Alerta,Linea B,16:38:14,Viernes
L-2024-0087,Peso promedio,Disolutor-02,Conforme,Linea B,16:41:28,Lunes
L-2024-0009,Uniformidad de contenido,Termobalanza-01,Conforme,Linea B,07:09:20,Lunes
L-2024-0122,Humedad,Durometro-02,Conforme,Linea A,15:54:10,Viernes
L-2024-0251,Friabilidad,Disolutor-02,Conforme,linea a,21:25:17,Martes
L-2024-0225,pH,phmetro-01,Conforme,Linea B,15:50:52,Miercoles
L-2024-0186,Tiempo de desintegracion,Disolutor-01,Fuera de Especificacion (OOS),Linea A,21:27:25,Martes
L-2024-0132,Friabilidad,Durometro-01,Conforme,Linea B,14:11:51,Viernes
L-2024-0118,Uniformidad de contenido,,Alerta,Linea A,08:57:30,Lunes
L-2024-0026,Dureza,,Conforme,Linea A,06:07:29,Lunes
L-2024-0079,Peso promedio,Balanza-03,Conforme,Linea B,11:38:26,Jueves
L-2024-0084,Dureza,Disolutor-01,Conforme,Linea B,13:02:53,Jueves
L-2024-0084,Espesor,Balanza-04,Conforme,Linea B,11:35:06,Viernes
L-2024-0175,Friabilidad,Disolutor-01,Conforme,Linea A,18:41:07,Lunes
L-2024-0197,Humedad,Balanza-03,Conforme,Linea B,08:47:13,Viernes
L-2024-0079,Friabilidad,phmetro-01,Conforme,Linea B,15:29:32,Jueves
L-2024-0127,pH,phmetro-01,Conforme,Linea B,21:11:39,Viernes
L-2024-0171,Espesor,HPLC-02,Fuera de Especificacion (OOS),Linea B,06:05:13,Viernes
L-2024-0018,Uniformidad de contenido,Durometro-01,Conforme,Linea A,09:41:17,Jueves
L-2024-0224,Espesor,HPLC-01,Conforme,Linea B,11:21:03,Jueves
L-2024-0070,Tiempo de desintegracion,HPLC-01,Fuera de Especificacion (OOS),Linea A,08:57:21,Lunes
L-2024-0096,Peso promedio,Durometro-01,Conforme,Linea A,21:28:04,Jueves
L-2024-0073,Tiempo de desintegracion,HPLC-02,Fuera de Especificacion (OOS),Linea A,21:59:22,Jueves
L-2024-0078,pH,HPLC-01,Alerta,Linea B,20:08:21,Jueves
L-2024-0088,Espesor,Durometro-02,Conforme,Linea B,15:33:03,Martes
L-2024-0076,Uniformidad de contenido,Balanza-04,Conforme,Linea A,15:26:44,Lunes
L-2024-0048,Tiempo de desintegracion,Durometro-02,Conforme,Linea B,11:21:58,Jueves
L-2024-0041,Dureza,phmetro-01,Conforme,Linea B,19:16:33,Jueves
L-2024-0229,Disolucion 30 min,Durometro-02,Conforme,Linea B,17:38:12,Lunes
L-2024-0170,Humedad,Disolutor-02,Conforme,Linea B,11:53:59,Lunes
L-2024-0087,Friabilidad,Balanza-03,Fuera de Especificacion (OOS),Linea A,12:05:12,Lunes
L-2024-0015,Humedad,Disolutor-01,Alerta,Linea B,11:14:05,Lunes
L-2024-0098,pH,Balanza-04,Conforme,linea b,11:43:42,Miercoles
L-2024-0186,Espesor,HPLC-02,Conforme,Linea B,16:55:05,Jueves
L-2024-0059,Friabilidad,Disolutor-02,Conforme,Linea A,18:55:33,Miercoles
L-2024-0107,Humedad,Durometro-01,Conforme,Linea A,08:27:28,Lunes
L-2024-0246,Humedad,Durometro-01,Conforme,Linea B,16:05:30,Martes
L-2024-0117,Peso promedio,Durometro-02,Conforme,Linea A,11:59:51,Viernes
L-2024-0027,Humedad,HPLC-01,Conforme,Linea B,09:24:52,Martes
L-2024-0053,Disolucion 30 min,Balanza-04,Conforme,Linea A,11:09:50,Lunes
L-2024-0231,Espesor,phmetro-01,Alerta,Linea B,14:39:25,Lunes
L-2024-0226,Disolucion 30 min,Durometro-02,Conforme,Linea B,13:15:42,Martes
L-2024-0008,Espesor,HPLC-01,Fuera de Especificacion (OOS),Linea B,09:46:47,Lunes
L-2024-0172,Humedad,Balanza-03,Conforme,linea b,06:51:16,Jueves
L-2024-0059,Friabilidad,HPLC-01,Conforme,Linea A,07:30:26,Lunes
L-2024-0066,,,Conforme,Linea B,21:17:56,Lunes
L-2024-0172,Peso promedio,Balanza-04,Conforme,Linea A,16:48:24,Jueves
L-2024-0151,Dureza,Termobalanza-01,Conforme,Linea A,06:56:45,Martes
L-2024-0162,Friabilidad,Disolutor-01,Conforme,Linea A,10:03:55,Viernes
L-2024-0137,Peso promedio,Disolutor-01,Alerta,Linea A,08:57:09,Viernes
L-2024-0039,Friabilidad,Disolutor-02,Conforme,Linea B,09:18:11,Jueves
L-2024-0190,Peso promedio,HPLC-02,Conforme,Linea B,19:04:19,Martes
L-2024-0113,,Balanza-04,Conforme,Linea B,14:31:53,Viernes
L-2024-0247,Peso promedio,Balanza-04,Conforme,Linea A,21:43:01,Lunes
L-2024-0172,Disolucion 30 min,HPLC-02,Conforme,Linea A,14:37:39,Lunes
L-2024-0188,Espesor,Termobalanza-01,Conforme,Linea A,20:14:29,Lunes
L-2024-0184,Humedad,HPLC-01,Alerta,Linea B,12:00:47,Lunes
L-2024-0184,Peso promedio,Disolutor-02,Conforme,Linea A,10:11:25,Martes
L-2024-0142,Dureza,Balanza-04,Conforme,Linea A,20:30:00,Viernes
L-2024-0223,Espesor,HPLC-01,Conforme,Linea B,12:38:00,Miercoles
L-2024-0149,Disolucion 30 min,HPLC-02,Conforme,Linea B,11:00:41,Miercoles
L-2024-0166,Peso promedio,Disolutor-01,Conforme,Linea B,17:42:07,Martes
L-2024-0052,Disolucion 30 min,Disolutor-02,Alerta,linea b,13:04:29,Viernes
L-2024-0001,Friabilidad,Balanza-04,Conforme,linea b,09:51:54,Jueves
L-2024-0244,Tiempo de desintegracion,Disolutor-02,Conforme,Linea A,09:45:57,Jueves
L-2024-0032,Peso promedio,HPLC-01,Alerta,Linea B,12:06:03,Viernes
L-2024-0036,Humedad,Disolutor-02,Conforme,Linea A,13:03:12,Viernes
L-2024-0205,Peso promedio,Durometro-02,Conforme,Linea B,15:22:56,Martes
L-2024-0012,Espesor,HPLC-01,Alerta,Linea A,11:03:06,Lunes
L-2024-0160,Uniformidad de contenido,Termobalanza-01,Alerta,Linea A,10:53:21,Jueves
L-2024-0057,Humedad,Balanza-03,Conforme,Linea B,15:19:32,Martes
L-2024-0168,Uniformidad de contenido,Balanza-03,Conforme,Linea B,21:15:28,Miercoles
L-2024-0203,Disolucion 30 min,Balanza-04,Conforme,Linea B,07:43:10,Martes
L-2024-0213,Uniformidad de contenido,HPLC-02,Conforme,Linea A,13:25:29,Viernes
L-2024-0082,Peso promedio,phmetro-01,Fuera de Tendencia (OOT),Linea B,10:43:40,Jueves
L-2024-0041,Friabilidad,Balanza-04,Conforme,Linea A,19:16:47,Viernes
L-2024-0229,Humedad,Disolutor-02,Conforme,Linea A,13:21:01,Lunes
L-2024-0133,Dureza,HPLC-01,Conforme,Linea A,18:54:57,Lunes
L-2024-0061,Peso promedio,Durometro-02,Fuera de Especificacion (OOS),Linea A,06:20:20,Viernes
L-2024-0128,Tiempo de desintegracion,Durometro-02,Fuera de Especificacion (OOS),Linea A,20:58:05,Jueves
L-2024-0073,pH,HPLC-02,Conforme,linea a,08:53:29,Jueves
L-2024-0078,Uniformidad de contenido,Disolutor-01,Conforme,Linea A,15:42:35,Martes
L-2024-0063,Uniformidad de contenido,,Conforme,Linea B,06:22:18,Viernes
L-2024-0253,pH,Durometro-01,Alerta,Linea A,16:37:09,Lunes
L-2024-0210,Humedad,Balanza-03,Conforme,Linea B,09:32:57,Miercoles
L-2024-0229,Disolucion 30 min,Disolutor-01,Conforme,Linea B,11:54:07,Miercoles
L-2024-0098,Humedad,Balanza-04,Conforme,Linea B,07:56:29,Martes
L-2024-0110,pH,Durometro-02,Conforme,Linea A,20:34:16,Jueves
L-2024-0132,Humedad,,Conforme,Linea A,18:02:52,Martes
L-2024-0077,,Balanza-04,Conforme,Linea B,14:21:23,Miercoles
L-2024-0172,Friabilidad,HPLC-02,Conforme,Linea A,20:30:09,Miercoles
L-2024-0087,Friabilidad,Termobalanza-01,Conforme,Linea B,07:58:52,Lunes
L-2024-0254,Friabilidad,Balanza-04,Conforme,Linea A,14:50:21,Viernes
L-2024-0094,Espesor,HPLC-01,Conforme,Linea A,16:44:16,Martes
L-2024-0253,Uniformidad de contenido,Durometro-01,Fuera de Especificacion (OOS),Linea A,13:07:02,Lunes
L-2024-0260,Friabilidad,Disolutor-01,Conforme,Linea A,21:53:27,Jueves
L-2024-0097,pH,Disolutor-02,Conforme,Linea B,09:39:46,Miercoles
L-2024-0009,Friabilidad,Disolutor-02,Conforme,Linea A,15:47:38,Viernes
L-2024-0086,Dureza,Durometro-02,Conforme,Linea B,12:24:47,Jueves
L-2024-0194,Peso promedio,Termobalanza-01,Fuera de Tendencia (OOT),Linea B,09:02:32,Lunes
L-2024-0202,Uniformidad de contenido,,Alerta,Linea B,11:05:29,Lunes
L-2024-0215,Tiempo de desintegracion,Balanza-03,Conforme,Linea A,14:44:16,Jueves
L-2024-0109,Peso promedio,Disolutor-01,Alerta,Linea A,18:48:27,Miercoles
L-2024-0016,Peso promedio,Balanza-03,Alerta,Linea B,07:30:06,Miercoles
L-2024-0138,Friabilidad,Balanza-03,Conforme,Linea B,12:44:44,Jueves
L-2024-0133,Peso promedio,Durometro-01,Conforme,Linea B,21:10:21,Lunes
L-2024-0223,pH,Termobalanza-01,Conforme,Linea B,16:39:21,Viernes
L-2024-0226,Friabilidad,Disolutor-02,Alerta,Linea A,07:40:48,Lunes
L-2024-0226,Peso promedio,Disolutor-02,Conforme,Linea A,11:19:13,Miercoles
L-2024-0246,Uniformidad de contenido,Balanza-03,Conforme,Linea B,16:38:52,Miercoles
L-2024-0223,Disolucion 30 min,Disolutor-02,Conforme,Linea A,12:25:35,Miercoles
L-2024-0002,Uniformidad de contenido,Termobalanza-01,Fuera de Tendencia (OOT),Linea A,19:14:01,Lunes
L-2024-0244,pH,Durometro-01,Conforme,Linea B,13:05:44,Jueves
L-2024-0186,Disolucion 30 min,Balanza-04,Conforme,Linea A,21:50:40,Viernes
L-2024-0256,Humedad,Disolutor-01,Conforme,Linea B,10:26:18,Jueves
L-2024-0077,Uniformidad de contenido,Balanza-03,Conforme,Linea A,07:08:23,Lunes
L-2024-0245,Disolucion 30 min,Disolutor-02,Conforme,Linea A,11:34:09,Martes
L-2024-0157,Uniformidad de contenido,Durometro-02,Conforme,Linea A,19:50:44,Jueves
L-2024-0200,Tiempo de desintegracion,Durometro-02,Conforme,Linea A,19:50:28,Jueves
L-2024-0218,Tiempo de desintegracion,Balanza-03,Alerta,Linea B,09:34:01,Martes
L-2024-0210,Espesor,,Conforme,Linea A,15:59:42,Miercoles
L-2024-0015,Peso promedio,Disolutor-02,Conforme,Linea B,10:09:27,Lunes
L-2024-0102,pH,phmetro-01,Conforme,Linea B,11:47:36,Martes
L-2024-0009,Uniformidad de contenido,phmetro-01,Conforme,Linea B,13:11:50,Miercoles
L-2024-0046,Humedad,Disolutor-02,Conforme,Linea A,20:37:42,Martes
L-2024-0049,Tiempo de desintegracion,Termobalanza-01,Conforme,Linea B,08:08:01,Lunes
L-2024-0043,Humedad,Disolutor-01,Conforme,Linea A,11:03:19,Jueves
L-2024-0057,pH,Disolutor-01,Conforme,Linea A,08:35:42,Miercoles
L-2024-0241,,Disolutor-02,Conforme,Linea B,11:22:50,Jueves
L-2024-0147,Tiempo de desintegracion,HPLC-01,Conforme,Linea A,13:10:11,Miercoles
L-2024-0201,Friabilidad,Durometro-01,Conforme,Linea B,12:22:50,Jueves
L-2024-0029,Disolucion 30 min,Balanza-03,Conforme,Linea B,09:25:39,Viernes
L-2024-0090,Disolucion 30 min,HPLC-02,Conforme,Linea B,19:35:04,Miercoles
L-2024-0181,Friabilidad,Durometro-02,Conforme,Linea A,13:13:08,Lunes
L-2024-0135,Humedad,HPLC-01,Conforme,Linea A,09:54:02,Viernes
L-2024-0167,Disolucion 30 min,Durometro-01,Conforme,Linea B,21:31:06,Miercoles
L-2024-0259,Uniformidad de contenido,phmetro-01,Conforme,Linea B,07:42:04,Jueves
L-2024-0026,Uniformidad de contenido,Balanza-03,Conforme,Linea B,06:42:04,Viernes
L-2024-0001,pH,Balanza-03,Conforme,Linea B,18:43:05,Miercoles
L-2024-0014,Friabilidad,Durometro-01,Conforme,Linea B,15:03:34,Miercoles
L-2024-0076,Friabilidad,Balanza-04,Conforme,Linea B,18:48:38,Viernes
L-2024-0197,Friabilidad,Balanza-03,Alerta,Linea B,11:32:28,Viernes
L-2024-0105,pH,Disolutor-01,Conforme,Linea B,15:04:02,Lunes
L-2024-0140,Dureza,Balanza-03,Conforme,Linea A,17:23:40,Lunes
L-2024-0045,Friabilidad,Termobalanza-01,Conforme,Linea A,18:46:10,Jueves
L-2024-0176,Humedad,Termobalanza-01,Conforme,Linea A,11:34:32,Martes
L-2024-0202,Dureza,,Conforme,Linea A,19:09:56,Jueves
L-2024-0083,Espesor,phmetro-01,Conforme,Linea A,18:52:13,Lunes
L-2024-0029,Disolucion 30 min,Termobalanza-01,Conforme,Linea A,09:34:45,Miercoles
L-2024-0075,Tiempo de desintegracion,Balanza-04,Conforme,Linea B,18:14:14,Martes
L-2024-0112,Disolucion 30 min,Disolutor-01,Conforme,Linea A,07:40:51,Miercoles
L-2024-0056,Humedad,Balanza-03,Conforme,Linea A,11:11:55,Viernes
L-2024-0226,Tiempo de desintegracion,HPLC-01,Conforme,Linea A,18:43:17,Jueves
L-2024-0251,Tiempo de desintegracion,Disolutor-02,Conforme,Linea B,11:28:18,Jueves
L-2024-0079,Disolucion 30 min,Balanza-03,Conforme,Linea A,09:41:29,Miercoles
L-2024-0252,Humedad,Durometro-02,Conforme,Linea B,17:08:24,Lunes
L-2024-0054,Friabilidad,Disolutor-02,Conforme,Linea B,16:48:59,Miercoles
L-2024-0204,Uniformidad de contenido,Durometro-01,Conforme,Linea A,15:40:20,Lunes
L-2024-0106,Peso promedio,Disolutor-01,Conforme,linea a,17:56:09,Jueves
L-2024-0223,Espesor,,Alerta,Linea A,21:55:01,Lunes
